序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
92,抚顺特钢,军工材料-高温合金,辽宁-抚顺,,,,,,,,,ABCDEFGH,x99-军工
93,中洲特材-300,军工材料-高温合金,上海,,,,,,,,,ABCDEFGH,x99-军工
94,图南股份-300,军工材料-高温合金,江苏-镇江,,,,,,,,,ABCDEFGH,x99-军工
95,隆达股份-688,军工材料-高温合金,江苏-无锡,,,,,,,,,ABCDEFGH,x99-军工
96,西部超导-688,军工材料-高温合金,陕西-西安,,,,,,,,,ABCDEFGH,x99-军工
97,中航高科,军工材料-军用纤维,,,,,,,,,,ABCDEFGH,x99-军工
98,光威复材,军工材料-军用纤维,威海,,,,,,,,,ABCDEFGH,x99-军工
99,铂力特-688,军工材料-军用纤维,陕西-西安,,,,,,,,,ABCDEFGH,x99-军工
100,中简科技-300,军工材料-军用纤维,江苏-常州,,,,,,,,,ABCDEFGH,x99-军工
101,同益中-688,军工材料-军用纤维,北京,,,,,,,,,ABCDEFGH,x99-军工
102,菲利华-300,军工材料-军用纤维,湖北-荆州,,,,,,,,,ABCDEFGH,x99-军工
103,南山智尚-300,军工材料-军用纤维,烟台,,,,,,,,,ABCDEFGH,x99-军工
104,安达维尔-300,军工材料-军用纤维,北京,,,,,,,,,ABCDEFGH,x99-军工
105,福莱新材,军工材料-军用纤维,浙江-嘉兴,,,,,,,,,ABCDEFGH,x99-军工
106,联创光电,激光武器,江西-南昌,,,,,,,,,ABCDEFGH,x99-军工
107,四川长虹,激光武器,四川-绵阳,,,,,,,,,ABCDEFGH,x99-军工
108,六九一二-300,激光武器,四川-德阳,,,,,,,,,ABCDEFGH,x99-军工
109,中船应急-300,应急,湖北-武汉,,,,,,,,,ABCDEFGH,x99-军工
110,泰豪科技,应急,江西-南昌,,,,,,,,,ABCDEFGH,x99-军工
111,华如科技-300,军事仿真,北京,,,,,,,,,ABCDEFGH,x99-军工
112,航天发展,军事仿真,福建-福州,,,,,,,,,ABCDEFGH,x99-军工
113,六九一二-300,军事仿真,四川-德阳,,,,,,,,,ABCDEFGH,x99-军工
114,观想科技-300,管理系统,四川-成都,,,,,,,,,ABCDEFGH,x99-军工
115,振华科技,军用电源,贵州-贵阳,,,,,,,,,ABCDEFGH,x99-军工
116,新雷能-300,军用电源,北京,,,,,,,,,ABCDEFGH,x99-军工
