序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
98,读客文化-300,出版商-大众出版商,上海,,,,,,,,,ABCDEFGH,x114-传媒
99,世纪天鸿-300,出版商-民营出版商,山东-淄博,,,,,,,,,ABCDEFGH,x114-传媒
100,荣信文化-300,出版商-民营出版商,陕西-西安,,,,,,,,,ABCDEFGH,x114-传媒
101,出版传媒,辽宁,辽宁-沈阳,,,,,,,,,ABCDEFGH,x114-传媒
102,南方传媒,广东,广州,,,,,,,,,ABCDEFGH,x114-传媒
103,山东出版,山东,济南,,,,,,,,,ABCDEFGH,x114-传媒
104,城市传媒,山东,青岛,,,,,,,,,ABCDEFGH,x114-传媒
105,新华文轩,四川,四川-成都,,,,,,,,,ABCDEFGH,x114-传媒
106,凤凰传媒,江苏,江苏-南京,,,,,,,,,ABCDEFGH,x114-传媒
107,中南文化,江苏,江苏-无锡,,,,,,,,,ABCDEFGH,x114-传媒
108,天舟文化-300,湖南,湖南-长沙,,,,,,,,,ABCDEFGH,x114-传媒
109,浙版传媒,浙江,浙江-杭州,,,,,,,,,ABCDEFGH,x114-传媒
110,华媒控股,浙江,浙江-杭州,,,,,,,,,ABCDEFGH,x114-传媒
111,皖新传媒,安徽,安徽-合肥,,,,,,,,,ABCDEFGH,x114-传媒
112,时代出版,安徽,安徽-合肥,,,,,,,,,ABCDEFGH,x114-传媒
113,中原传媒,河南,河南-焦作,,,,,,,,,ABCDEFGH,x114-传媒
114,长江传媒,湖北,湖北-武汉,,,,,,,,,ABCDEFGH,x114-传媒
115,龙版传媒,黑龙江,黑龙江-哈尔滨,,,,,,,,,ABCDEFGH,x114-传媒
116,新华传媒,上海,上海,,,,,,,,,ABCDEFGH,x114-传媒
117,内蒙新华,内蒙古,内蒙-呼和浩特,,,,,,,,,ABCDEFGH,x114-传媒
118,读者传媒,甘肃,甘肃-兰州,,,,,,,,,ABCDEFGH,x114-传媒
119,分众传媒,实体广告,广东-广州,,,,,,,,,ABCDEFGH,x114-传媒
120,北巴传媒,实体广告,北京,,,,,,,,,ABCDEFGH,x114-传媒
