序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
26,奥雅股份-300,景观设计,深圳,,,,,,,,,ABCDEFGH,x116-新型城镇化
27,山水比德-300,景观设计,广州,,,,,,,,,ABCDEFGH,x116-新型城镇化
28,棕榈股份,景观设计,河南-郑州,,,,,,,,,ABCDEFGH,x116-新型城镇化
29,金埔园林-300,景观设计,江苏-南京,,,,,,,,,ABCDEFGH,x116-新型城镇化
30,文科股份,景观设计,广东-佛山,,,,,,,,,ABCDEFGH,x116-新型城镇化
31,东方园林,景观设计,北京,,,,,,,,,ABCDEFGH,x116-新型城镇化
32,诚邦股份,景观设计,浙江-杭州,,,,,,,,,ABCDEFGH,x116-新型城镇化
33,园林股份,景观设计,浙江-杭州,,,,,,,,,ABCDEFGH,x116-新型城镇化
34,国晟科技,景观设计,北京,,,,,,,,,ABCDEFGH,x116-新型城镇化
35,棕榈股份,园林工程,河南-郑州,,,,,,,,,ABCDEFGH,x116-新型城镇化
36,普邦股份,园林工程,广州,,,,,,,,,ABCDEFGH,x116-新型城镇化
37,东珠生态,园林工程,江苏-无锡,,,,,,,,,ABCDEFGH,x116-新型城镇化
38,岳阳林纸,园林工程,湖南-岳阳,,,,,,,,,ABCDEFGH,x116-新型城镇化
39,金埔园林-300,园林工程,江苏-南京,,,,,,,,,ABCDEFGH,x116-新型城镇化
40,文科股份,园林工程,广东-佛山,,,,,,,,,ABCDEFGH,x116-新型城镇化
41,汇绿生态,园林工程,湖北-武汉,,,,,,,,,ABCDEFGH,x116-新型城镇化
42,绿茵生态,园林工程,天津,,,,,,,,,ABCDEFGH,x116-新型城镇化
43,美丽生态,园林工程,深圳,,,,,,,,,ABCDEFGH,x116-新型城镇化
44,农尚环境-300,园林工程,湖北-武汉,,,,,,,,,ABCDEFGH,x116-新型城镇化
45,园林股份,园林工程,浙江-杭州,,,,,,,,,ABCDEFGH,x116-新型城镇化
46,大千生态,园林工程,江苏-南京,,,,,,,,,ABCDEFGH,x116-新型城镇化
47,国晟科技,园林工程,北京,,,,,,,,,ABCDEFGH,x116-新型城镇化
48,济高发展,园林工程,济南,,,,,,,,,ABCDEFGH,x116-新型城镇化
49,杭州园林,园林工程,杭州,,,,,,,,,ABCDEFGH,x116-新型城镇化
50,东方园林,园林工程,北京,,,,,,,,,ABCDEFGH,x116-新型城镇化
51,宁水集团,智能水电气-智能水表,浙江-宁波,,,,,,,,,ABCDEFGH,x116-新型城镇化
52,三川智慧-300,智能水电气-智能水表,江西-鹰潭,,,,,,,,,ABCDEFGH,x116-新型城镇化
53,新天科技-300,智能水电气-智能水表,河南-郑州,,,,,,,,,ABCDEFGH,x116-新型城镇化
54,山科智能-300,智能水电气-智能水表,浙江-杭州,,,,,,,,,ABCDEFGH,x116-新型城镇化
55,迈拓股份-300,智能水电气-智能水表,江苏-南京,,,,,,,,,ABCDEFGH,x116-新型城镇化
56,汇中股份-300,智能水电气-智能水表,河北-唐山,,,,,,,,,ABCDEFGH,x116-新型城镇化
57,金卡智能-300,智能水电气-智能燃气表,浙江-温州,,,,,,,,,ABCDEFGH,x116-新型城镇化
58,真兰仪表-300,智能水电气-智能燃气表,上海,,,,,,,,,ABCDEFGH,x116-新型城镇化
59,威星智能,智能水电气-智能燃气表,浙江-杭州,,,,,,,,,ABCDEFGH,x116-新型城镇化
60,先锋电子,智能水电气-智能燃气表,浙江-杭州,,,,,,,,,ABCDEFGH,x116-新型城镇化
61,秦川物联-688,智能水电气-智能燃气表,四川-成都,,,,,,,,,ABCDEFGH,x116-新型城镇化
62,新天科技-300,智能水电气-智能燃气表,河南-郑州,,,,,,,,,ABCDEFGH,x116-新型城镇化
63,汉威科技-300,智能水电气-智能燃气表,河南-郑州,,,,,,,,,ABCDEFGH,x116-新型城镇化
