序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
91,华锡有色,锑,广西-南宁,可控锑资源量A股第三，21万吨,,,,,,,,ABCDEFGH,x9-有色金属
92,兴业银锡,锑,内蒙-赤峰,可控锑资源量A股第四，20万吨,,,,,,,,ABCDEFGH,x9-有色金属
93,豫光金铅,铅,河南-济源,铅金属产能A股第一，产能45万吨,,,,,,,,ABCDEFGH,x9-有色金属
94,驰宏锌锗,铅,云南-曲靖,铅金属产能A股第二，产能8万,,,,,,,,ABCDEFGH,x9-有色金属
95,中金岭南,铅,深圳,铅金属产能A股第三，产能4万,,,,,,,,ABCDEFGH,x9-有色金属
96,锌业股份,铅,辽宁-葫芦岛,铅金属产能A股第四，产能3万,,,,,,,,ABCDEFGH,x9-有色金属
97,国城矿业,铅,四川-阿坝藏族羌族自治州,铅金属储量96万吨,,,,,,,,ABCDEFGH,x9-有色金属
98,华钰矿业,铅,西藏-拉萨,铅金属储量86万吨,,,,,,,,ABCDEFGH,x9-有色金属
99,金徽股份,铅,甘肃-陇南,铅金属储量63万吨,,,,,,,,ABCDEFGH,x9-有色金属
100,盛达资源,铅,北京,铅精粉营收占比35%,,,,,,,,ABCDEFGH,x9-有色金属
101,株冶集团,锌,湖南-株洲,锌金属产量A股第一，64万吨,,,,,,,,ABCDEFGH,x9-有色金属
102,中金岭南,锌,深圳,锌金属产量A股第二，28万吨,,,,,,,,ABCDEFGH,x9-有色金属
103,锌业股份,锌,辽宁-葫芦岛,锌金属产量A股第3，28万吨,,,,,,,,ABCDEFGH,x9-有色金属
104,驰宏锌锗,锌,云南-曲靖,锌金属产量A股第4，23万吨,,,,,,,,ABCDEFGH,x9-有色金属
105,罗平锌电,锌,云南-曲靖,锌金属产量A股第5，7万吨,,,,,,,,ABCDEFGH,x9-有色金属
106,兴业银锡,锌,内蒙-赤峰,锌金属产量A股第6，4万吨,,,,,,,,ABCDEFGH,x9-有色金属
107,宏达股份,锌,四川-德阳,锌金属产量A股第7，3万吨,,,,,,,,ABCDEFGH,x9-有色金属
108,中色股份,锌,北京-丰台,锌储量368万吨,,,,,,,,ABCDEFGH,x9-有色金属
109,金徽股份,锌,甘肃-陇南,锌精矿产量5.4万吨,,,,,,,,ABCDEFGH,x9-有色金属
110,国城矿业,锌,四川-阿坝藏族羌族自治州,锌精矿产量5万吨,,,,,,,,ABCDEFGH,x9-有色金属
111,锡业股份,铟,云南-昆明,铟资源储量全球第一,,,,,,,,ABCDEFGH,x9-有色金属
112,华锡有色,铟,广西-南宁,铟资源储量国内第二,,,,,,,,ABCDEFGH,x9-有色金属
113,株冶集团,铟,湖南-株洲,铟产量A股第一，50吨/年,,,,,,,,ABCDEFGH,x9-有色金属
114,中金岭南,铟,深圳,铟产量A股第二，10吨/年,,,,,,,,ABCDEFGH,x9-有色金属
115,锌业股份,铟,辽宁-葫芦岛,铟产量A股第三，8吨/年，主生产半导体金属铟,,,,,,,,ABCDEFGH,x9-有色金属
116,罗平锌电,铟,云南-曲靖,铟产量A股第四，2.5 吨/年,,,,,,,,ABCDEFGH,x9-有色金属
117,西部黄金,锰,新疆-乌鲁木齐,锰矿石产能55万吨,,,,,,,,ABCDEFGH,x9-有色金属
118,湘潭电化,锰,湖南-湘潭市,电解二氧化锰产能A股第一，12万吨,,,,,,,,ABCDEFGH,x9-有色金属
119,三峡水利,锰,重庆-万州,电解二氧化锰产能A股第二，3万吨,,,,,,,,ABCDEFGH,x9-有色金属
120,红星发展,锰,贵州-万顺,电解二氧化锰产能A股第三，1.82万吨,,,,,,,,ABCDEFGH,x9-有色金属
121,中钢天源,锰,安徽-马鞍山,四氧化三锰 产能A股第一5.5万吨,,,,,,,,ABCDEFGH,x9-有色金属
122,格林美,镍,广东-深圳,电池级 高纯镍钴盐晶体产能10万吨,,,,,,,,ABCDEFGH,x9-有色金属
123,鹏欣资源,镍,上海-普陀区,参股CLEAN teq公司，拥有位于澳洲的 镍钴钪 矿项目。,,,,,,,,ABCDEFGH,x9-有色金属
124,华友钴业,镍,浙江-嘉兴,氢氧化镍产能6万吨，,,,,,,,,ABCDEFGH,x9-有色金属
